Row Type,Action,Status,Sync errors,From,To,Device segment,Engine,Account,Campaign,Ad group,Keyword,Match type,Engine status,Clicks,Impr,Cost,CTR,Avg CPC,Avg pos
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor land tours,Phrase,Active,1,3,0.76,0.3333,0.76,1
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor land tours,Phrase,Active,2,2,5.08,1,2.54,1
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor land tours,Phrase,Active,2,5,5.34,0.4,2.67,1
keyword,edit,Active,,7/20/2014,7/20/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor land trip,Broad,Active,1,15,1,0.0667,1,2.2
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor vacations,Broad,Active,1,28,1.73,0.0357,1.73,2.14
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor vacations,Broad,Active,1,26,1.63,0.0385,1.63,2.15
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor land tours,Exact,Active,1,7,1.67,0.1429,1.67,1
keyword,edit,Active,,7/20/2014,7/20/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,Tours/Hike,outdoor land tours,Exact,Active,1,7,1.56,0.1429,1.56,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripes - Exact,outdoor land hikings,Exact,Active,4,13,7.44,0.3077,1.86,1
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripes - Exact,outdoor land hikings,Exact,Active,6,15,9.18,0.4,1.53,1
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripes - Exact,outdoor land hikings,Exact,Active,3,15,4.3,0.2,1.43,1
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripes - Exact,outdoor land hikings,Exact,Active,2,11,3.75,0.1818,1.88,1
keyword,edit,Active,,7/20/2014,7/20/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripes - Exact,outdoor land hikings,Exact,Active,4,24,7.36,0.1667,1.84,1
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripes - Exact,outdoor land hikings,Exact,Active,4,15,7.23,0.2667,1.81,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripe - Exact,outdoor land hiking,Exact,Active,1,7,1.43,0.1429,1.43,1.14
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripe - Exact,outdoor land hiking,Exact,Active,2,9,3.5,0.2222,1.75,1
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripe - Exact,outdoor land hiking,Exact,Active,2,5,2.85,0.4,1.42,1
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripe - Exact,outdoor land hiking,Exact,Active,2,6,2.12,0.3333,1.06,1
keyword,edit,Active,,7/20/2014,7/20/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripe - Exact,outdoor land hiking,Exact,Active,4,6,7.17,0.6667,1.79,1
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,outdoor|Search|USA-CAN,outdoor HikingTripe - Exact,outdoor land hiking,Exact,Active,4,8,8.97,0.5,2.24,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike hikings outdoor,Broad,Active,35,1027,101.56,0.0341,2.9,3.02
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike hikings outdoor,Broad,Active,26,1115,105.66,0.0233,4.06,2.85
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike hikings outdoor,Broad,Active,27,888,93.79,0.0304,3.47,2.75
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike hikings outdoor,Broad,Active,14,523,40.88,0.0268,2.92,2.98
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike hikings outdoor,Broad,Active,17,476,44.64,0.0357,2.63,3.3
keyword,edit,Active,,7/20/2014,7/20/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike hikings outdoor,Broad,Active,28,955,86.22,0.0293,3.08,2.92
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike hikings outdoor,Broad,Active,38,1199,113,0.0317,2.97,3.19
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike outdoor,Phrase,Active,2,3,3.38,0.6667,1.69,1
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike land hiking outdoor,Phrase,Active,1,1,2.8,1,2.8,1
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike land hikings outdoor,Phrase,Active,1,1,0.77,1,0.77,1
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike hikings outdoor,Exact,Active,1,1,1.2,1,1.2,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,outdoor-Brand|Search|USA-CAN,outdoor + Brand,hike land hikings outdoor,Exact,Active,1,1,2.05,1,2.05,1
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,landOtherTerms|Search|USA-CAN,ROT - landbike,land bike tours,Broad,Active,1,12,1.06,0.0833,1.06,2.33
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,landOtherTerms|Search|USA-CAN,ROT - landbike,landbike hikings,Exact,Active,6,70,40.17,0.0857,6.7,1.01
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,landOtherTerms|Search|USA-CAN,ROT - landbike,landbike hikings,Exact,Active,7,65,48.78,0.1077,6.97,1.05
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,landOtherTerms|Search|USA-CAN,ROT - landbike,landbike hikings,Exact,Active,7,79,52.52,0.0886,7.5,1
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,landOtherTerms|Search|USA-CAN,ROT - landbike,landbike hikings,Exact,Active,5,59,36.15,0.0847,7.23,1
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,landOtherTerms|Search|USA-CAN,ROT - landbike,landbike hikings,Exact,Active,3,39,25.09,0.0769,8.36,1.05
keyword,edit,Active,,7/20/2014,7/20/2014,Desktop,Bing Ads,Company A - MSN,landOtherTerms|Search|USA-CAN,ROT - landbike,landbike hikings,Exact,Active,5,36,30.15,0.1389,6.03,1.11
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,landOtherTerms|Search|USA-CAN,ROT - landbike,landbike hikings,Exact,Active,3,46,21.5,0.0652,7.17,1
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,landOtherTerms|Search|USA-CAN,ROT - landbike,land bike hiking,Exact,Active,1,1,5.51,1,5.51,1
keyword,edit,Active,,7/16/2014,7/16/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike land hikings colorado,Exact,Active,1,1,1.17,1,1.17,1
keyword,edit,Active,,7/15/2014,7/15/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike colorado,Phrase,Active,1,3,1.52,0.3333,1.52,1
keyword,edit,Active,,7/16/2014,7/16/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike colorado,Phrase,Active,1,1,0.53,1,0.53,1
keyword,edit,Active,,7/19/2014,7/19/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike colorado,Phrase,Active,1,1,0.72,1,0.72,1
keyword,edit,Active,,7/15/2014,7/15/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike hikings colorado,Broad,Active,1,45,1.64,0.0222,1.64,1.47
keyword,edit,Active,,7/16/2014,7/16/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike hikings colorado,Broad,Active,2,63,2.73,0.0317,1.36,1.29
keyword,edit,Active,,7/17/2014,7/17/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike hikings colorado,Broad,Active,1,60,0.16,0.0167,0.16,1.42
keyword,edit,Active,,7/18/2014,7/18/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike hikings colorado,Broad,Active,3,80,7.27,0.0375,2.42,1.22
keyword,edit,Active,,7/19/2014,7/19/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike hikings colorado,Broad,Active,2,86,7.34,0.0233,3.67,1.38
keyword,edit,Active,,7/20/2014,7/20/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike hikings colorado,Broad,Active,2,82,2.05,0.0244,1.02,1.39
keyword,edit,Active,,7/21/2014,7/21/2014,Mobile,Bing Ads,Company A - MSN,colorado-Brand-Mobile|Search|USA-CAN,colorado + Brand,hike hikings colorado,Broad,Active,1,52,0.39,0.0192,0.39,1.48
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,hikings colorado land,Broad,Active,1,102,1.9,0.0098,1.9,2.08
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,biking colorado land,Broad,Active,1,3,2.27,0.3333,2.27,3
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado hiking,Broad,Active,1,70,1.84,0.0143,1.84,5.49
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado hikings,Broad,Active,1,54,1.44,0.0185,1.44,3.48
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado hikings,Broad,Active,1,48,1.65,0.0208,1.65,3.25
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado hikings,Phrase,Active,2,3,2.44,0.6667,1.22,1
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado biking,Broad,Active,4,15,6.24,0.2667,1.56,2.07
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado biking,Broad,Active,1,2,1.62,0.5,1.62,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado land hiking,Broad,Active,2,111,4.36,0.018,2.18,1.5
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado land hiking,Broad,Active,7,113,14.58,0.0619,2.08,1.23
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado land hiking,Broad,Active,4,193,8.7,0.0207,2.18,1.27
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado land hiking,Broad,Active,2,106,3.58,0.0189,1.79,1.57
keyword,edit,Active,,7/20/2014,7/20/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado land hiking,Broad,Active,1,34,0.71,0.0294,0.71,4
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado land hiking,Phrase,Active,1,2,1.92,0.5,1.92,1
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado land biking,Broad,Active,1,3,1.38,0.3333,1.38,1
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,land hiking colorado,Broad,Active,1,3,1.51,0.3333,1.51,2.33
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,hiking the colorado,Broad,Active,1,129,3.18,0.0078,3.18,2.57
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,hiking the colorado,Broad,Active,2,94,7.71,0.0213,3.86,2.3
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,hiking the colorado,Broad,Active,5,102,4.79,0.049,0.96,2.41
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,hiking the colorado,Broad,Active,1,54,1.96,0.0185,1.96,3.39
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,hiking the colorado,Phrase,Active,1,3,1.84,0.3333,1.84,1
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,hiking colorado land,Exact,Active,1,2,1.49,0.5,1.49,1
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,biking colorado land,Exact,Active,2,1,0.9,2,0.45,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado hikings,Exact,Active,1,4,1.9,0.25,1.9,1
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,HikingTripe/s/ing,colorado hikings,Exact,Active,1,1,1.91,1,1.91,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado bike tour,Broad,Active,2,110,5.31,0.0182,2.66,2.13
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado bike tour,Broad,Active,7,105,24.71,0.0667,3.53,1.57
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado bike tour,Broad,Active,2,25,4.4,0.08,2.2,1.96
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado bike tours,Broad,Active,2,34,3.04,0.0588,1.52,1.97
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado bike tours,Broad,Active,4,42,5.16,0.0952,1.29,1.26
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado bike tours,Broad,Active,3,25,6.65,0.12,2.22,1.56
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado bike tours,Broad,Active,3,25,5.08,0.12,1.69,1.68
keyword,edit,Active,,7/20/2014,7/20/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado bike tours,Broad,Active,1,16,0.96,0.0625,0.96,2.62
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado bike tours,Broad,Active,1,12,0.89,0.0833,0.89,3.58
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado vacations,Broad,Active,1,11,5.22,0.0909,5.22,1.18
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado vacations,Broad,Active,1,2,0.44,0.5,0.44,2
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,hiking colorado,Broad,Active,2,233,5.64,0.0086,2.82,1.81
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,hiking colorado,Broad,Active,5,203,14.16,0.0246,2.83,1.66
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,hiking colorado,Broad,Active,5,223,10.76,0.0224,2.15,1.81
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,hiking colorado,Broad,Active,5,120,12.83,0.0417,2.57,2.32
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,hiking colorado,Broad,Active,1,87,1.98,0.0115,1.98,2.86
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,Tours/Hike,colorado bike tour,Exact,Active,2,3,3.05,0.6667,1.52,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,colorado HikingTripe - Exact,colorado land hiking,Exact,Active,2,16,5.1,0.125,2.55,1
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,colorado HikingTripe - Exact,colorado land hiking,Exact,Active,2,4,2.76,0.5,1.38,1
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,colorado HikingTripe - Exact,colorado land hiking,Exact,Active,2,9,2.56,0.2222,1.28,1
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,colorado HikingTripe - Exact,colorado land hiking,Exact,Active,2,5,6.75,0.4,3.38,1
keyword,edit,Active,,7/21/2014,7/21/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,colorado HikingTripe - Exact,colorado land hiking,Exact,Active,1,4,2.78,0.25,2.78,1
keyword,edit,Active,,7/15/2014,7/15/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,colorado HikingTripes - Exact,colorado land hikings,Exact,Active,2,10,3,0.2,1.5,1.4
keyword,edit,Active,,7/16/2014,7/16/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,colorado HikingTripes - Exact,colorado land hikings,Exact,Active,2,18,2.91,0.1111,1.46,1
keyword,edit,Active,,7/17/2014,7/17/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,colorado HikingTripes - Exact,colorado land hikings,Exact,Active,4,9,7.91,0.4444,1.98,1
keyword,edit,Active,,7/18/2014,7/18/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,colorado HikingTripes - Exact,colorado land hikings,Exact,Active,2,8,3.99,0.25,2,1.12
keyword,edit,Active,,7/19/2014,7/19/2014,Desktop,Bing Ads,Company A - MSN,colorado|Search|USA-CAN,colorado HikingTripes - Exact,colorado land hikings,Exact,Active,8,14,15.77,0.5714,1.97,1
